,Unnamed: 0,corredor,cod_mpio,departamento,cod_dpto,municipio,info_type,category,sub_category,keyword,place_id,name,types,latitude,longitude,address,average_rating,user_ratings_total,place_link,phone,website,opening_hours,review_1_rating,review_1_text,review_2_rating,review_2_text,review_3_rating,review_3_text,review_4_rating,review_4_text,review_5_rating,review_5_text,city
14,14,Corredor 1,17174,CALDAS,17,CHINCHINÁ,Infraestructura Turística,Servicios Turísticos,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",ChIJnWZAfoRlR44Rik8FZO4s6Y4,Comidas La Mona,"food,meal_takeaway,restaurant,establishment,point_of_interest",5.0535119,-75.4958542,"Cl. 66 #31b-02, Manizales",4.7,23,https://maps.google.com/?cid=10297811425351257994,320 4946708,,Monday: 1:00 PM – 11:00 AM|Tuesday: 1:00 PM – 11:00 AM|Wednesday: 1:00 PM – 11:00 AM|Thursday: 1:00 PM – 11:00 AM|Friday: 1:00 PM – 11:00 AM|Saturday: 1:00 PM – 11:00 AM|Sunday: Closed,3.0,"Much delay in service, disorganized service staff, food is delicious but there are better places nearby",5.0,"A place to eat delicious empanadas and marranitas, good service",5.0,Delicious all the food they sell there.,5.0,Very rich,4.0,All your delicious products!!!,Cl. 66 #31b-02
15,15,Corredor 1,17174,CALDAS,17,CHINCHINÁ,Infraestructura Turística,Servicios Turísticos,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",ChIJe84txBRlR44R_aw9NhpY0ZY,La PILARICA cocina tradicional,"establishment,restaurant,point_of_interest,food",5.0565795,-75.48552870000002,"Cra. 21 #64 A 33, Manizales",,0,https://maps.google.com/?cid=10867564245424123133,318 6678803,,,,,,,,,,,,,Cra. 21 #64 A 33
16,16,Corredor 1,17174,CALDAS,17,CHINCHINÁ,Infraestructura Turística,Servicios Turísticos,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",ChIJH4rA6k5vR44RRZZT1m1raE8,Restaurante Donde Anita,"food,restaurant,point_of_interest,establishment",5.073054,-75.5049854,"Carrera 15, Vía Neira # 40-144",4.6,267,https://maps.google.com/?cid=5721941446065624645,311 3704521,,Monday: 8:00 AM – 5:00 PM|Tuesday: 8:00 AM – 5:00 PM|Wednesday: 8:00 AM – 5:00 PM|Thursday: 8:00 AM – 5:00 PM|Friday: 8:00 AM – 5:00 PM|Saturday: 8:00 AM – 5:00 PM|Sunday: 8:00 AM – 5:00 PM,5.0,It was amazing! I had a Pork chop. I share picture below.,5.0,Great colombian food and good parking access,5.0,"Located on the outskirts of Manizales, heading toward Neira, we find a place with the typical Caldas flavor, with a variety of dishes such as ajiaco, mondongo, and beans, among others.
They serve dishes in very good quantities, fresh and with a delicious flavor. The service is also friendly. The place usually gets very busy, although they have good table availability.",4.0,"I've been to this place frequently. The seasoning and prices were as expected. Unfortunately, I visited today, and not only have the prices increased far above inflation, but the quality of the products has also deteriorated. At the tables, you have to fight the mosquitoes that have invaded the place. I complained to the person at the register, and their response wasn't very kind. The increase in prices doesn't matter much, but the quality does. I hope they take the appropriate measures, because the place was very good.",5.0,"Excellent service, very delicious meals and very friendly attention. I totally recommend it. Everything is very delicious",Carrera 15
17,17,Corredor 1,17174,CALDAS,17,CHINCHINÁ,Infraestructura Turística,Servicios Turísticos,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",ChIJkdyTCn1lR44R0LkrIALAPhw,Restaurante Cháncharos,"establishment,restaurant,point_of_interest,food",5.0594972,-75.48996389999999,"Cl. 61 #24B-24, La Estrella, Manizales",4.6,521,https://maps.google.com/?cid=2035275196980246992,300 3891114,https://www.facebook.com/chancharos/,Monday: 11:30 AM – 3:00 PM|Tuesday: 11:30 AM – 3:00 PM|Wednesday: 11:30 AM – 3:00 PM|Thursday: 11:30 AM – 3:00 PM|Friday: 11:30 AM – 3:00 PM|Saturday: 11:30 AM – 3:30 PM|Sunday: Closed,5.0,"A 5-Star restaurant experience without the high price.  If you enjoy delicious food, excellent service and a nice atmosphere, I would highly recommend this restaurant. One can easily see that this restaurant is very well-managed. The staff works together incredibly well to attend to customers, professionally and politely; the kitchen sends the out food quickly and beautifully presented; and the restaurant is clean and presentable.  Rarely do I see a restaurant work like this. My appreciation to the management and staff!",4.0,Good food and decent prices. Nice option for lunch in La Estrella area.,5.0,Good service and great food.,5.0,"A nice, quick, delicious meal",5.0,Best for it's price,La Estrella
18,18,Corredor 1,17174,CALDAS,17,CHINCHINÁ,Infraestructura Turística,Servicios Turísticos,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",ChIJ09MhQvxvR44RhmcY_V4X7I0,Restaurante y Cafetería,"restaurant,point_of_interest,food,establishment",5.0682446,-75.5233957,"Bellas arto, Cl. 13 #20, Manizales",4.0,11,https://maps.google.com/?cid=10226574550592153478,314 6288856,,Monday: 7:00 AM – 9:00 PM|Tuesday: 7:00 AM – 9:00 PM|Wednesday: 7:00 AM – 9:00 PM|Thursday: 7:00 AM – 9:00 PM|Friday: 7:00 AM – 9:00 PM|Saturday: 7:00 AM – 9:00 PM|Sunday: 7:00 AM – 9:00 PM,5.0,Very good,1.0,Just passing by,5.0,,5.0,Excellent food,3.0,,Cl. 13 #20
19,19,Corredor 1,17174,CALDAS,17,CHINCHINÁ,Infraestructura Turística,Servicios Turísticos,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",ChIJSSpnpvBvR44Rbdzzh745pec,RESTAURANTE RINCON DE LA 23 MANIZALES,"point_of_interest,restaurant,establishment,food",5.0649831,-75.5013109,0,4.4,45,https://maps.google.com/?cid=16691811084406086765,,,Monday: Closed|Tuesday: Closed|Wednesday: 12:00 – 1:00 PM|Thursday: Closed|Friday: Closed|Saturday: Closed|Sunday: Closed,1.0,"Despite the excellent portions and the speedy delivery, we had a very bad experience eating the salad, as it had a paper clip and a kitchen sponge inside.
The Rapi delivery guy was trying to be clever with us by charging us for the tip.
A terrible experience.",5.0,"Delicious Creole food, excellent service, very good atmosphere and favorable prices!
Recommended",2.0,"Their food is good, but their employees, especially the woman who handles the deliveries, are a clear example that no one cares more about what happens to your business than the owner himself. The service is terrible, and the deliveries aren't what you expect.",5.0,It is a small but nice place and the food is top notch. I invite you to go and check this place out.,5.0,"Delicious food, they are spacious to serve their dishes and at a very good price.",
20,20,Corredor 1,17174,CALDAS,17,CHINCHINÁ,Infraestructura Turística,Servicios Turísticos,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",ChIJb5xvmJFvR44RkBpP3RRkyNE,Restaurante casa vieja,"establishment,restaurant,food,point_of_interest",5.069836899999999,-75.516106,"Cra. 19 #24-37, Manizales",5.0,1,https://maps.google.com/?cid=15116442190044142224,314 5607951,,Monday: Open 24 hours|Tuesday: Open 24 hours|Wednesday: Open 24 hours|Thursday: Open 24 hours|Friday: Open 24 hours|Saturday: Open 24 hours|Sunday: Closed,5.0,,,,,,,,,,Cra. 19 #24-37
21,21,Corredor 1,17174,CALDAS,17,CHINCHINÁ,Infraestructura Turística,Servicios Turísticos,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",ChIJx9sHZXFlR44RuAVWRvP8OW8,La Cafetería,"establishment,food,point_of_interest,cafe",5.0557135,-75.4854871,"Av. Santander, Manizales",4.5,2,https://maps.google.com/?cid=8014715133669803448,,,,4.0,It is a very pleasant place to chat,5.0,,,,,,,,Av. Santander
22,22,Corredor 1,17174,CALDAS,17,CHINCHINÁ,Infraestructura Turística,Servicios Turísticos,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",ChIJi0uxZGZvR44RHKwweVLdFM0,El Sabor de Casa,"restaurant,point_of_interest,food,establishment",5.069310499999999,-75.51113819999999,"esquina, Carrera 20 # 32-10, Cra 20 #32-10",4.9,207,https://maps.google.com/?cid=14777679623599729692,(606) 8808004,,Monday: 7:00 AM – 12:00 PM|Tuesday: 7:00 AM – 12:00 PM|Wednesday: 7:00 AM – 12:00 PM|Thursday: 7:00 AM – 12:00 PM|Friday: 7:00 AM – 12:00 PM|Saturday: 7:00 AM – 12:00 PM|Sunday: 7:00 AM – 12:00 PM,5.0,Puré Colombian breakfast. Lots of locals,5.0,Delicious 😋 Coffee ☕️,5.0,Super wow,5.0,Deli 😋,5.0,Fresh food,Carrera 20 # 32-10
23,23,Corredor 1,17174,CALDAS,17,CHINCHINÁ,Infraestructura Turística,Servicios Turísticos,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",ChIJGXYTYERvR44Rnfxe_mRIks8,Asados Stefany,"food,restaurant,point_of_interest,establishment",5.077118599999999,-75.5250657,"Cl. 10 # 08 - 09, Manizales",4.6,81,https://maps.google.com/?cid=14957096911052405917,304 4952442,https://instagram.com/asados_stefany?igshid=NDk5N2NlZjQ=,Monday: 4:00 – 11:30 PM|Tuesday: 4:00 – 11:30 PM|Wednesday: 4:00 – 11:30 PM|Thursday: 4:00 – 11:30 PM|Friday: 4:00 – 11:30 PM|Saturday: 4:00 – 11:30 PM|Sunday: 4:00 – 11:30 PM,5.0,"Good meat and very nice people, local food!!! Lived the churrasco and the lemonade!",4.0,"Great site. Charcoal food. From chorizos or arepas. Even meats. I really liked the mixed plate. One can choose both meats and also the garnish, and it comes accompanied by a delicious warmed dish that includes ripe banana. Additional two sauces: chimichurri and guacamole.

The ideal care. They served me super quickly and I was very hungry. It is a very uncongested part of Cyprus, which makes it attractive. It is in the middle of houses and residents and the smell of the barbecue guides you and you arrive with the desire to buy.

The prices are fair for what they offer. I was pleased that they were very friendly and that the service was super agile.

There are also drinks and you can entertain yourself by playing triqui. The tables all have the game. It is fun to go in a group or as a couple.

I liked it a lot. If they aged the meat a little more it would be excellent.",5.0,"Small place for so many people, delicious food, I recommend all the dishes. Very good seasoning. Every time I come I try a different dish, all very good.",4.0,The burger has horrible meat (they should improve it)... For that reason alone I give it 3 stars. The chunchulla is very good and abundant.,5.0,"Recommended, excellent service, very good products and a very good price vs quality",Cl. 10 # 08 - 09
24,24,Corredor 1,17174,CALDAS,17,CHINCHINÁ,Infraestructura Turística,Servicios Turísticos,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",ChIJbZJ-131lR44R2JEnL7ITViI,Caferatto Café especial,"point_of_interest,cafe,establishment,store,food",5.057852899999999,-75.4877432,"Cra. 23c #62-72, Manizales",4.7,178,https://maps.google.com/?cid=2474186701302895064,320 4768574,,Monday: 8:00 AM – 7:00 PM|Tuesday: 8:00 AM – 7:00 PM|Wednesday: 8:00 AM – 7:00 PM|Thursday: 8:00 AM – 7:00 PM|Friday: 8:00 AM – 6:00 PM|Saturday: Closed|Sunday: 9:00 AM – 7:00 PM,4.0,"A modernly decorated cafe with a relaxed atmosphere and open air feel. The cafe is located on the rear terrace of an office building so it’s a bit difficult to find.  We had to ask the reception for directions. However, once you arrive it is quite a nice place. The food and coffee are very good; the service is professional and the barista was very helpful. An overall great experience.",4.0,"Our family of 3, enjoyed our visit to this cafe. It is a little difficult to find as we went initially into a restaurant next door. You enter through the office type building entrance with a security guard to get to the coffee shop.

The space is beautiful and the view is really nice. The vibe is chic, relaxed and airy.  Lots of people working, taking video conference calls, comfy seating (inside and outside).  We ordered a cold brew, hot chocolate, campesino, plain croissant and a chocolate croissant.  It took a bit of a wait for the items to come as there was only one guy working when we arrived. He was very nice though and seemed excited to speak English with us.  Later on two more workers came to work as the cafe got busier.   The chocolate croissant is super chocolatey and both pastries were nicely warmed up for us.  Beverages were tasty.   We enjoyed our visit there and would go back again.",5.0,"Delicious coffee, spectacular views, great environment and a great variety of food and drinks. Recommended if you’re visiting or for a coworking space.",5.0,Very good place to visit for coffee! Their roast beef sandwich was delicious.,5.0,Amazing coffee shop with a passionate owner. The coffee here is amazing and shows the quality of coffee that one can access in Colombia. With a beautiful view of Manizales and a great environment if you are looking to work for the day - I highly recommend.,Cra. 23c #62-72
25,25,Corredor 1,17174,CALDAS,17,CHINCHINÁ,Infraestructura Turística,Servicios Turísticos,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",ChIJ3VRZDgBlR44R7_ghW4HQHmM,Pa Comer Sabroso,"store,point_of_interest,cafe,food,establishment",5.0468706,-75.5152832,"Cl. 5 #5-60, Villamaría",5.0,2,https://maps.google.com/?cid=7142375313054497007,321 4680703,,Monday: 2:00 – 8:00 AM|Tuesday: 2:00 – 8:00 AM|Wednesday: 2:00 – 8:00 AM|Thursday: 2:00 – 8:00 AM|Friday: 2:00 – 8:00 AM|Saturday: 2:00 – 8:00 AM|Sunday: 2:00 – 8:00 AM,5.0,Excellent service! From Sunday to Sunday always punctual. Everything hot and freshly made,5.0,"Excellent service, great attention to the consumer, fresh products and plenty of variety",,,,,,,Cl. 5 #5-60
